89,CHCl2F.pm,75-43-4,Dichlorofluoromethane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
90,CHCl3.pm,67-66-3,Chloroform,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
91,CHN.pm,74-90-8,Hydrogen cyanide,0,\parencite{Eckl2008_C},2 L.J. Centers & 1 Dipole & 1 Quadrupole,pm\ok,-,Rigid
92,Cl-.pm,16887-00-6,Chlorine ion (1-),0,\parencite{Reiser2014},1 L.J. Center & 1 Charge,pm\ok,-,Rigid
93,Cl2.pm,7782-50-5,Chlorine ,0,\parencite{Vrabec2001},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
94,CO\_D.pm,630-08-0,Carbon monoxide,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole ,pm\ok,-,Rigid
95,CO\_Q.pm,630-08-0,Carbon monoxide,0,\parencite{Stoll2004},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
96,CO2\_I.pm,124-38-9,Carbon dioxide,0,\parencite{Merker2010},3 L.J. Centers & 1 Quattropole,pm\ok,-,Rigid
97,CO2\_II.pm,124-38-9,Carbon dioxide,0,\parencite{Stoll2004},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
98,Cs+.pm,18459-37-5,Cesium ion (1+),0,\parencite{Reiser2014},1 L.J. Center & 1 Charge,pm\ok,-,Rigid
99,CS2.pm,75-15-0,Carbon disulfide,0,\parencite{Vrabec2001},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
100,F-.pm,16984-48-8,Fluorine ion (1-),0,\parencite{Reiser2014},1 L.J. Center & 1 Charge,pm\ok,-,Rigid
101,F2.pm,7782-41-4,Fluorine,0,\parencite{Vrabec2001},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
102,H3N\_II.pm,7664-41-7,Ammonia,0,\parencite{Eckl2008_B},1 L.J. Center & 4 Charges,pm\ok,-,Rigid
103,H4N2.pm,302-01-2,Hydrazine,0,\parencite{Elts2012},2 L.J. Centers & 6 Charges,pm\ok,-,Rigid
104,HCl.pm,7647-01-0,Hydrochloric acid,0,\parencite{Huang2011},1 L.J. Center & 2 Charges,pm\ok,-,Rigid
105,I-.pm,20461-54-5,Iodide ion (1-),0,\parencite{Reiser2014},1 L.J. Center & 1 Charge,pm\ok,-,Rigid
106,I2.pm,7553-56-2,Iodine,0,\parencite{Vrabec2001},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
107,K+.pm,24203-36-9,Potassium ion (1+),0,\parencite{Reiser2014},1 L.J. Center & 1 Charge,pm\ok,-,Rigid
108,Kr.pm,7439-90-9,Krypton,0,\parencite{Vrabec2001},1 L.J. Center,pm\ok,-,Rigid
109,Li+.pm,17341-24-1,Lithium ion (1+),0,\parencite{Reiser2014},1 L.J. Center & 1 Charge,pm\ok,-,Rigid
110,Mg2+.pm,22537-22-0,Magnesium ion (2+),0,\parencite{Deublein2012_A},1 L.J. Center & 1 Charge,pm\ok,-,Rigid
111,N2.pm,7727-37-9,Nitrogen,0,\parencite{Stoll2004},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
112,Na+.pm,17341-25-2,Sodium ion (1+),0,\parencite{Reiser2014},1 L.J. Center & 1 Charge,pm\ok,-,Rigid
113,Ne.pm,7440-01-9,Neon,0,\parencite{Vrabec2001},1 L.J. Center,pm\ok,-,Rigid
114,O2.pm,7782-44-7,Oxygen,0,\parencite{Stoll2004},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
115,R11\_CFCl3.pm,75-69-4,Trichloromonofluoromethane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
116,R1122\_CHCl$=$CF2.pm,359-10-4,"2-Chloro-1,1-difluoroethylene",0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
117,R112a\_CCl3-CF2Cl.pm,76-11-9,"1,1,1,2-Tetrachloro-2,2-difluoroethane",0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
118,R113\_CFCl2-CF2Cl.pm,76-13-1,"1,1,2-trichloro-1,2,2-trifluoro-Ethane",0,\parencite{Stoll2003},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
119,R114\_CF2Cl-CF2Cl.pm,76-14-2,"1,2-dichloro-1,1,2,2-tetrafluoro-Ethane",0,\parencite{Stoll2003},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
120,R115\_CF3-CF2Cl.pm,76-15-3,Pentafluoroethyl chloride,0,\parencite{Stoll2003},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
121,R12\_CF2Cl2.pm,75-71-8,Dichlorodifluoromethane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
122,R123\_CHCl2-CF3.pm,306-83-2," 2,2-dichloro-1,1,1-trifluoro-Ethane",0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
123,R124\_CHFCl-CF3.pm,2837-89-0,"2-chloro-1,1,1,2-tetrafluoro-Ethane",0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
124,R125\_CHF2-CF3.pm,354-33-6,pentafluoro-Ethane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
125,R13\_CF3Cl.pm,75-72-9,Chlorotrifluoromethane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
126,R134\_CHF2-CHF2.pm,359-35-3,"1,1,2,2-tetrafluoro-Ethane",0,\parencite{Stoll2003},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
127,R134a\_CH2F-CF3.pm,811-97-2,Norflurane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
128,R13B1\_CBrF3.pm,75-63-8,Bromotrifluoromethane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
129,R141b\_CH3-CFCl2.pm,1717-00-6,"1,1-Dichloro-1-fluoroethane",0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
130,R142b\_CH3-CF2Cl.pm,75-68-3,"1-chloro-1,1-difluoro-Ethane",0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
131,R143a\_CH3-CF3.pm,420-46-2,"1,1,1-trifluoro-Ethane",0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
132,R152a\_CH3-CHF2.pm,75-37-6,"1,1-difluoro-Ethane",0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
133,R22\_CHF2Cl.pm,75-45-6,Difluorochloromethane,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
134,R227ea\_C3HF7.pm,431-89-0,"1,1,1,2,3,3,3-heptafluoro-Propane",0,\parencite{Eckl2007},10 L.J. Centers & 1 Dipole 1 Quadrupole,pm\ok,-,Rigid
135,R23\_CHF3.pm,75-46-7,Fluoroform,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
136,R32\_CH2F2.pm,75-10-5,Difluoromethane,0,\parencite{Stoll2003},1 L.J. Center & 1 Dipole,pm\ok,-,Rigid
137,R41\_CH3F.pm,593-53-3,Methyl fluoride,0,\parencite{Stoll2003},2 L.J. Centers & 1 Dipole,pm\ok,-,Rigid
138,Rb+.pm,22537-38-8,Rubidium ion (1+),0,\parencite{Reiser2014},1 L.J. Center & 1 Charge,pm\ok,-,Rigid
139,SF6.pm,2551-62-4,Sulfur hexafluoride,0,\parencite{Vrabec2001},2 L.J. Centers & 1 Quadrupole,pm\ok,-,Rigid
140,SO2.pm,7446-09-5,Sulfur dioxide,0,\parencite{Eckl2008_C},3 L.J. Centers & 1 Dipole & 1 Quadrupole,pm\ok,-,Rigid
141,Sr2+.pm,22537-39-9,Strontium ion (2+),0,\parencite{Deublein2012_A},1 L.J. Center & 1 Charge,pm\ok,-,Rigid
142,Xe.pm,7440-63-3,Xenon,0,\parencite{Vrabec2001},1 L.J. Center,pm\ok,-,Rigid
